"id","user","body","created_at"
"190","alephbeyet","nooooooooooooooooooooooooooooooooooooooooooooo","2021-04-19 20:45:16"
"191","arzudeus","CHESS BONG KEKW","2021-04-19 20:45:16"
"192","flurt2gurthy","SIR ROZMAN WHO DO YOU THINK WILL BE WORLD CHAMP AFTER MAGNUS???????","2021-04-19 20:45:16"
"193","ezksupernova","F","2021-04-19 20:45:16"
"194","blankzxc","It's behind you KEKW","2021-04-19 20:45:17"
"195","physiczzzs","LMFAOFO","2021-04-19 20:45:17"
"196","sakerino","D:","2021-04-19 20:45:17"
"197","daytothepotato1","NO KEKW","2021-04-19 20:45:17"
"198","dubgee9","Optimo cigars are the only way to fly","2021-04-19 20:45:17"
"199","jcennon","Sadge","2021-04-19 20:45:17"
"200","maskedmal","D:","2021-04-19 20:45:17"
"201","karasumorrigan","F","2021-04-19 20:45:17"
"202","oogljr","And 100% name of the game","2021-04-19 20:45:18"
"203","ifclvsx","CiGrip WTF","2021-04-19 20:45:18"
"204","lermacto","Sadge","2021-04-19 20:45:18"
"205","suhleeh","D: WTF","2021-04-19 20:45:18"
"206","duken_e","Sadge","2021-04-19 20:45:18"
"207","chemik_98","Smoge","2021-04-19 20:45:18"
"208","xxvii_elcha","@GothamChess seems like Lucy eats like detective Monk","2021-04-19 20:45:18"
"209","savvnator","YOOOO","2021-04-19 20:45:18"
"210","karansridhar","KEKW","2021-04-19 20:45:18"
"211","mtbubz","F","2021-04-19 20:45:19"
"212","c_yo","bongcloud kekw","2021-04-19 20:45:19"
"213","jhaha","FeelsBadMan","2021-04-19 20:45:19"
"214","xhaxhwxt","bongggggggggggg","2021-04-19 20:45:19"
"215","gersak","Леви поставь Гачи Гелик прошу","2021-04-19 20:45:19"
"216","sshadowsimo","gg","2021-04-19 20:45:19"
"217","jxba1","Sadge","2021-04-19 20:45:19"
"218","asger_isager","WTF YOU SMOKE WEED?!??!?!?! Pog","2021-04-19 20:45:19"
"219","tim7000","ripp","2021-04-19 20:45:19"
"220","akiofcourse","F","2021-04-19 20:45:19"
"221","srynotsrylol","Sadge","2021-04-19 20:45:19"
"222","thanatos_god0fdeath","PepeHands","2021-04-19 20:45:19"
"223","drishtortion","wait what happens when he runs out of time","2021-04-19 20:45:19"
"224","kedud59","Sadge","2021-04-19 20:45:20"
"225","christopherablive","LES GOOO","2021-04-19 20:45:20"
"226","dellett","You gonna light up for 4/20 now that it’s legal in NY?","2021-04-19 20:45:20"
"227","groomerzoomer","noooooo","2021-04-19 20:45:20"
"228","fjfnstuff","Sadge","2021-04-19 20:45:20"
"229","blackstag7","I am certainly a clean eater. almost don't need to wash dishes afterwards lol (she/her btw)","2021-04-19 20:45:20"
"230","p0ufs0uffle","well, that's bad... my bad experiences with weed were all with bongs","2021-04-19 20:45:20"
"231","givemeplant","That’s dope actually","2021-04-19 20:45:21"
"232","generalmarsshark","OMEGALUL","2021-04-19 20:45:21"
"233","coll0id","oh God why MVL has 48 minutes now, thought it's gonna end soon","2021-04-19 20:45:21"
"234","kukmuduk","Sad","2021-04-19 20:45:21"
"235","peklarek","""Dropped""","2021-04-19 20:45:21"
"236","kerozine4u","Sadge","2021-04-19 20:45:21"
"237","miziel","oooooooh nooooo","2021-04-19 20:45:21"
"238","suspiciousbus","F","2021-04-19 20:45:21"
"239","pafarina","OMEGASP","2021-04-19 20:45:21"
"240","not_jack_howard","how do u know 95 percent of your viewers are male?","2021-04-19 20:45:22"
"241","duken_e","@GersaK KKomrade @GersaK KKomrade @GersaK KKomrade @GersaK KKomrade","2021-04-19 20:45:22"
"242","deadeddy97","SADGE","2021-04-19 20:45:22"
"243","doublehelicz","Sadge","2021-04-19 20:45:22"
"244","philipp131313","sadge","2021-04-19 20:45:22"
"245","a_rahman_","Sadge","2021-04-19 20:45:22"
"246","jmatraszek","did you play bongcloud while being high?","2021-04-19 20:45:22"
"247","the7thnoodle","I THOGHT YOU STOPPED AT HIGHSCHOOL","2021-04-19 20:45:23"
"248","lukastreehouse","The one in your back LUL","2021-04-19 20:45:23"
"249","madarkadonk","checkmate","2021-04-19 20:45:23"
"250","ligmapolas","D:","2021-04-19 20:45:23"
"251","jakub009sk","KEKW","2021-04-19 20:45:23"
"252","d_sch97","oh :(","2021-04-19 20:45:23"
"253","raffy10000","What piece was it?","2021-04-19 20:45:23"
"254","dopedominican2","Sadge","2021-04-19 20:45:24"
"255","sycamotree","what was Molly like","2021-04-19 20:45:24"
"256","thewalkingchimney","LOL","2021-04-19 20:45:24"
"257","faberbri","how do you win this?","2021-04-19 20:45:24"
"258","shr3dyz","Sadge","2021-04-19 20:45:24"
"259","kedud59","F","2021-04-19 20:45:24"
"260","thanatos_god0fdeath","YEP CLOCK","2021-04-19 20:45:24"
"261","penguimms","Sadge","2021-04-19 20:45:24"
"262","gardedapple","THAT'S DOPE","2021-04-19 20:45:24"
"263","ketchupboy75","pog","2021-04-19 20:45:25"
"264","aliyatej","It's not the one behind you?","2021-04-19 20:45:25"
"265","karansridhar","D: D: D:","2021-04-19 20:45:25"
"266","kesiecz","""accident""","2021-04-19 20:45:25"
"267","rune_12_","Sadge","2021-04-19 20:45:26"
"268","vanhel5in_g","Sadge","2021-04-19 20:45:26"
"269","gambit0bear","D:","2021-04-19 20:45:26"
"270","feelgoodnic","does hikaru smoke chat","2021-04-19 20:45:27"
"271","vodam46","Rip the king","2021-04-19 20:45:27"
"272","dariusgotswag","F","2021-04-19 20:45:27"
"273","jedimandan","CHECKMATE","2021-04-19 20:45:28"
"274","doublehelicz","Sadge bong","2021-04-19 20:45:28"
"275","blokblak","PepeHands","2021-04-19 20:45:28"
"276","zayn321","used once and then broken","2021-04-19 20:45:28"
"277","2guardian_angel","even while smoking you were a true chessplayer","2021-04-19 20:45:28"
"278","k0n1ak","touching story","2021-04-19 20:45:29"
"279","conjugateempire","levy boncloud","2021-04-19 20:45:29"
"280","lettuceisgood","i live in australia and no one says anything about bowls, i thought they were bongs, what are bowls?","2021-04-19 20:45:29"
"281","zayn321","thats so sad","2021-04-19 20:45:29"
"282","c_yo","MY VASE! NOOO Sadge","2021-04-19 20:45:29"
"283","izbyonok","F","2021-04-19 20:45:30"
"284","miziel","so sad D:","2021-04-19 20:45:30"
"285","mac_g","""dropped it"" KEKW","2021-04-19 20:45:30"
"286","savvnator","BRUH","2021-04-19 20:45:30"
"287","m2mbalint23","is that a bong behind you?","2021-04-19 20:45:30"
"288","mrrat231","oh no my bong","2021-04-19 20:45:30"
"289","hobrfincl","Did they know it was a bong????","2021-04-19 20:45:30"
"290","icecoldshocker","so you don't smoke anymore?","2021-04-19 20:45:30"
"291","curtis_g2","GothBong","2021-04-19 20:45:31"
"292","oazh6000","Sadge","2021-04-19 20:45:31"
"293","kevbo858","IS THAT THE BLACK KING BONG IN YOUR BACKGROUND?","2021-04-19 20:45:31"
"294","zluker12321","""dropped""","2021-04-19 20:45:31"
"295","groomerzoomer","F Sadge","2021-04-19 20:45:31"
"296","cordontable7","isn't 7 pieces endgames theoretically solved? why isn't this one clear?","2021-04-19 20:45:31"
"297","tuppitappi","accident Kappa","2021-04-19 20:45:32"
"298","amrut_","""dropped it""","2021-04-19 20:45:32"
"299","hammxrr","RIP","2021-04-19 20:45:32"
"300","alwinisak","bruh","2021-04-19 20:45:33"
"301","idiottforyou",""" accident""","2021-04-19 20:45:33"
"302","adrad1234","Bong Gone D:","2021-04-19 20:45:33"
"303","el_snowzin","Levy, accept me on Linkedin please","2021-04-19 20:45:33"
"304","hideoushiker","cbrah420Pepe cbrah420Pepe cbrah420Pepe","2021-04-19 20:45:33"
"305","sexypancake","bong got mated","2021-04-19 20:45:33"
"306","lv_sz","chessb4PressF","2021-04-19 20:45:33"
"307","karansridhar","OMEGASP","2021-04-19 20:45:33"
"308","spiritsmaker","F","2021-04-19 20:45:33"
"309","itsmestevec","Lol","2021-04-19 20:45:34"
"310","thepampo","sadge big black chess king bong","2021-04-19 20:45:34"
"311","abse",":(","2021-04-19 20:45:34"
"312","jeww_","OMEGALUL","2021-04-19 20:45:34"
"313","sshadowsimo","ggg","2021-04-19 20:45:35"
"314","typewriter444","peepoSmoke","2021-04-19 20:45:35"
"315","savvnator","NOOOOOOO","2021-04-19 20:45:36"
"316","hjalbjorn","Kappa ""dropped it"" Kappa","2021-04-19 20:45:36"
"317","wietse111","I feel bad for Fabi","2021-04-19 20:45:36"
"318","batunian","""dropped""","2021-04-19 20:45:36"
"319","gambit0bear","Sadge","2021-04-19 20:45:37"
"320","jaxon1215","F","2021-04-19 20:45:38"
"321","savvnator","BRUH","2021-04-19 20:45:38"
"322","righteon114","UR A FUCKING /\/IGGER","2021-04-19 20:45:38"
"323","jxba1","Pog","2021-04-19 20:45:39"
